participant_id,q1_raw_regulation,q1_code,q2_raw_ethical_use,q2_code,q3_raw_creativity,q3_code,q4_raw_advantages,q4_code
P1_102,"Yes, because it can lead to all kinds of misinformation, leading to even international conflicts based on the wrong information.",Strict Regulatory Advocate,"Deepfakes can be used in education if and only if the content used is ethical and according to the curriculum, it can be used for entertainment, however unregulated use will lead to many problems, including financial instability.",Highly Restrictive,"Yes, they can in order to make learning more interactive, however the line between ethical and unethical is based on information and the meaning of the content.",Ethical Realist,"It can bee used with historic figures to teach children history, which make it less boring.",Educational/Societal
P1_103,"No, there can be many frauds using deepfake technology. If it is regulated by the law then there should be a huge check for no fraudulent activities which is not easy in India with a huge population.",Conditional/Skeptic,It can be used in politics as when someone a politician is not able to come or his/hers health conditions are not well but wants to convey his/hers thoughts. Then it can be used effectively. There can be many more such instances.,Broadly Permissive,"Yeah, it is good if we use it ethically but if we are using it to harass, make fun etc then it will be really bad.",Ethical Realist,It can be used in politics as when someone a politician is not able to come or his/hers health conditions are not well but wants to convey his/hers thoughts. Then it can be used effectively. There can be many more such instances.,Educational/Societal
P1_104,Yes it should be as people might try to create explicit images of popular figures and post them on social media,Strict Regulatory Advocate,They can be used for education and related stuff as it will help in cost cutting .,Broadly Permissive,As long as the images are not being used with the intent of demeaning or harassing someone they can be used to enhance storytelling etc,Ethical Realist,Can be used when high quality images are not required,Commercial/Entertainment
P1_105,"Yes because deepfake technology in malicious hands can increase the number of scams and innocent people, especially the elderly, can be scammed off money or property.",Strict Regulatory Advocate,"If a celebrity is given a contract to feature in an ad and he fails to show up fpr the shoot, a deepfake can be made to complete the job as no one will give a second thought of whether the celebrity is speaking or his/her deepfake.",Broadly Permissive,Absolutely.Visual graphics and their appearance has a psychological impact on viewers and the retention span of a person of a video/message is more when the way the message has been shared is visually appealing and convincing.,Innovation Optimist,Advanteages of deepfakes with goodwill is the impact on a person. If a story has a moral to propagate which the masses need to know then of rthem the method via it is being shared should be appealing.,Educational/Societal
P1_106,No it is dangerous for the people who have no knowledge and for uneducated people,Strict Regulatory Advocate,yes,Broadly Permissive,yeah we can use it to educate the people and by using it we can create pictures in story telling and ,Innovation Optimist,we know about the people ,Invalid/Unclear
P1_107,"Yes. I think it should be. As we see in news, it's usage is not proper and hence it should be regulated by law.",Strict Regulatory Advocate,"It can be used for recreating history, as a way of visual understanding of historical moments.",Broadly Permissive,"Yes. I feel that as long as the use of deep fake is giving some kind of educational, useful information to today's generation and as long it's use is not done for the wrong things, deepfake technology can be used for creativity and innovation.",Ethical Realist,They can be used for educational purposes. Can be used for creative art. Imagining historic paintings in a different light.,Educational/Societal
P1_108,"no,it is useful .But using it for a wrong purpose should be regulated",Conditional/Skeptic,"it can be used to make photos to look better than the before
and also in many investigations 
it can also be used for many entertainment purposes
 and also in study purpose
in making films good also",Broadly Permissive,"yes it can be a tool for creative and innovation,
but should not use this tool in criticizing people
should ha some barriers
",Ethical Realist,"their are many advantages of this tool 
like using it in study purpose makes you to understand some more information greately
in making film to look good
in making some comedy shows ",Educational/Societal
P1_109,"Yes, because fake or created images or videos or photos often mislead people to think something which never happened which in turn affects the person had been used as it may lead to negative intentions on that person.",Strict Regulatory Advocate,Yes particularly in movies deepfake technology can be used where you need some animals to be portrayed so then we can use this so that neither humans nor animals are harmed.,Broadly Permissive,Ethical use is when we mention its ai generated and use it in films and rediscovering objects  and unethical when used for misleading people. ,Ethical Realist,Advantages is we can make people visualize about the things which can't be physically brought like mainly in anatomy and we can use this in predicting what happened in history by bringing back the incidents that happened long back.,Educational/Societal
P1_110,A bit should be regulated but like for not spreading false statements (by any popular leader or popular person in world). Otherwise it shouldn't be regulated because it helps creaters to be more tools to make something new(that obviously don't hurt anyone),Conditional/Skeptic,"Education, Singing and Entertaintment. ",Broadly Permissive,YES. When they project the historical events/ figures in false way.,Ethical Realist,"If a creator is feeling low and not willing to make videos for some time, he/she can use it for some time as a substitute to maintain his/her growth.",Commercial/Entertainment
P1_111,"Absolutely, we need to have laws for deepfakes. In the wrong hands, this technology can be a devastating weapon used to ruin reputations and spread lies. ",Strict Regulatory Advocate,"as long as you have permission and you're completely upfront that it's a fake, the technology can be used ethically for anything from making cool movie effects to bringing history lessons to life.",Highly Restrictive,"It's a brilliant creative tool for things like movies and education; the line gets crossed the moment it's used to deceive, manipulate, or harm someone without their clear consent.",Ethical Realist,"Dubbing Movies, Tools for specially abled people ",Commercial/Entertainment
P1_112,"DEPENDS!! Some people who are really intelligent(like me) can make great use out of them but some idiots does not know how to use them properly lol(stupid) we can really make money out of them in social media handles(here::::the use means just by using the legal and non copywrite strikable content) but some may really destroy things like deepfakes or these audios of top leaders(which are made with finest quality) can affect major things like stocks,industries etc etc within no time.So there is no perfect ""YES OR NO"" answer for this question.",Conditional/Skeptic,entertainment and politics(for influencing the nations YOUTH(especially GENZ)) can be used,Broadly Permissive,"yes ,why not my opinion is ""IT IS MERE STUPIDITY FOR ARGUING THINGS LIKE DRAWING A LINE BETWEEN LEGAL AND ILLEGAL USE because here no body cares others privacy everything INDIRECTLY became legal now my point is that EVERYTHING IS ACCESIBLE now so now telling people that DONT USE THEM "" its like dont watch animal movie as it has some explicit scenes while whole internet has those things NO LOGIC!!",Invalid/Unclear,"some creators are making great fame,name and money using them",Commercial/Entertainment
P1_113,Yes it should be regulated as AI can use it to make us believe on something we shouldn't and make us do what it desires.,Strict Regulatory Advocate,it can be used for education and entertainment purposes to make public aware of something and it's benefits so that they can also contribute their effort to the society.,Broadly Permissive,"Yes it can be used for creativity and innovation,like historical figures dicussing a solution to a math problem.",Innovation Optimist,It can be used to educate people by using it to create some videos to deliver some important social message.For example it can make a video on women empowerment .,Educational/Societal
P1_114,"It should be regulated, atleast to some extent. Using it for creative purposes is fine, but it can easily cross borders. Impersonation becomes something even kids can do, and I dont have to enamorate more on that, do I? The thin line between our virtual presence and reality will fade even more. So, it should be regulated atleast somewhat.",Conditional/Skeptic,I have stated these answers below. (idk ig),Highly Restrictive,"Creativity will be through the roof when using such tech, especially because there are no boundaries to the limits of AI. Its fine as long as the historical figures are brought to life and are simulated to doing only things that they couldve done, anything that doesnt go against their ""supposed"" legacies.",Ethical Realist,"A specific scenario is the fast and furious series, where paul walker passed away, and they used tech similar to deepfake, to finish the movie even though he has passed away. Similarly, in the entertainment industry, it can be used extensively in various ways, reshoots wont be required and so on.",Commercial/Entertainment
P1_115,"Yes,I think by the law because AI is generating fake pictures and audio which can be used for bad things.",Strict Regulatory Advocate,It can we useful in education to entertain children or teach them.,Broadly Permissive,government should put laws on this. ,Ethical Realist,creating photos of family with dead people and make memory.,Educational/Societal
P1_116,"Yes, it should be regulated by law. This technology can be useful for smaller creators or businesses but is ethically harmful to the actual people who get paid to do these jobs. ",Conditional/Skeptic,"Yes, they can be used for voiceovers in commercials, making clipart etc.. but i don't think that doing this is ethical ",Highly Restrictive,This technology could be used to give ideas but that's where I'd  draw the line. Being creative is something I wouldn't give up just for convenience.,Ethical Realist,"By using deepfakes, the cost of whatever you want to produce is basically a 0. example: you want to film a commercial for your product but you don't have the money to pay for an actor or voice actor, you could use a deepfake...",Commercial/Entertainment
P1_117,"I believe it should be regulated. Till now, there have been a lot of instances where deepfake technology is misused . I believe it is fine as long as you have the consent of person/people",Conditional/Skeptic,"We can use it to reanimate popular figures, so that it can bring a sense of peace in a community.",Broadly Permissive,"It can be used to animate faces into people, so that it can look like the character themselves have narrated the story. The line lies in the consent. As long as you have consent and not harming the people in any way, it should be fine.",Innovation Optimist,"It can be used to reanimate the face of people who are deceased, so that the relative of the deceased can get some closure in their hearts. ",Educational/Societal
P1_118,Absolutely! Deepfakes have gotten to a point where the identity can be compromised. There should be laws in place to prevent identity theft and impersonation.,Strict Regulatory Advocate,Realtime language translation deepfakes can prove to be useful to make announcements in all languages simultaneously on a national or international level. ,Broadly Permissive,"The creative freedom is unlimited with AI models that are only getting stronger and more indistinguishable that reality. It would do more benefit than harm to allow deepfakes for creative use initially. However with laws not being optimally tight.. Many industries would stray towards unethical means to generate content. Therefore when it comes to individuals, there must be laws protecting the use of their faces/voices/bodies without consent.",Ethical Realist,Well lip-synced voiceovers for videos on YouTube and such platforms that match the original voice of the creator.,Commercial/Entertainment
P1_119,"Yes, I think that deepfake technology should be regulated by law as, if it is not used properly it can be used to commit cybercrimes, frauds etc.",Strict Regulatory Advocate,"Deepfake technology can help us visualize concepts better for educational purposes, it can also be used to create videos of historical figures coming to life to create positive narratives in the society.",Broadly Permissive,"Deepfake technology can be used as a tool for creativity and innovation, however it can also be used for unethical purposes. We can call the deepfake video/pictures/audio if it does not defame a person, show  an act which a person might not have commited or harm a person,  community, or religious sentiments",Ethical Realist,"Some advantages of using deepfake are making an artistic potrait of a person, for illustration purposes of body parts, machines for education purpose etc. ",Commercial/Entertainment
P1_120,"As per my experience in this form,
I couldn't answer many of the questions because I don't know some of the people like i could identify arjun kapoor, deepika padukone but there were some foreigners whom i couldn't identify, because i have never seen them.
Then this cannot be a criteria to judge a person's identity  or else if deepfake is used, you must show them things with with which they are familiar with, then it may help the government or the law. In my case, i would me comfortable with bollywood, cricket as my knowledge is poor in English movies and foreign singers😅😅😅",Invalid/Unclear,"Like, you seniors have used it in our tests, to mark attendance 
it may also be used during online transactions and online money related stuff, as nowadays there are more frauds going on in society.",Highly Restrictive,"yeah it may increase your judging ability, your remembering power, it will also increase your creativity if you are creating a deepfake form like this",Innovation Optimist,"i think the current context is a good one, as a mark of attendance in tests
it may also be used while testing whether it is a person or a robot during opening any of the websites",Educational/Societal
P1_121,idk,Invalid/Unclear,education ,Broadly Permissive,in education and cheating,Invalid/Unclear,to study any kind of topic its best,Educational/Societal
P1_122,"Absolutely. AI-generated content has flooded the internet, and it is nearly impossible to distinguish the truth from lies anymore.",Strict Regulatory Advocate,"I see very few potential (positive) uses for deepfake technology. Perhaps in an educational setting, it could be useful.",Highly Restrictive,"Yes, I believe it could be useful in educational purposes. The line is not defined very concretely. In my opinion, I would rather have no deepfake abilities at all. The pros are heavily outweighed by the cons.",Ethical Realist,"In an educational setting, it might make topics more relatable and easy to understand. For example, while illustrating a history lesson.",Educational/Societal
P1_123,"yes,Deepfakes can be used to fabricate speeches, fake news, or events, undermining trust in democratic processes. Without legal checks, they could destabilize elections or international relations.",Strict Regulatory Advocate,"Movies can use deepfakes to bring historical figures or deceased actors to life (with family/estate consent).
Actors could approve digital doubles for stunt scenes, reducing physical risk.
Music or art projects could experiment creatively with voices and faces, as long as audiences know it’s synthetic",Broadly Permissive,"yes,deepfakes can spark creativity by reviving historical figures for education or enhancing storytelling in films. The ethical line is crossed when there’s no consent, no disclosure, or when the intent is to deceive or harm.",Ethical Realist,"in education, deepfakes can bring historical figures like Einstein to “teach” concepts, making lessons engaging. In film, they allow realistic de-aging of actors, preserving continuity without recasting.",Educational/Societal
P1_124,no,Conditional/Skeptic,cutting movie costs by replacing the actor,Broadly Permissive,yes,Innovation Optimist,to help teach kids using deepfake of a figure,Educational/Societal
P1_125,yes because some bastard persons may use ai in different ways,Strict Regulatory Advocate,entertainment ,Broadly Permissive,somewhat yes but no because some people may use it very differently,Ethical Realist,there are some advantages like telling a story,Commercial/Entertainment
P1_126,"Yes, according to me the use of deepfake technology should be regulated by law because fake news can be circulated really fast using this technology",Strict Regulatory Advocate,to promote peace,Broadly Permissive,yes i believe the use of deepfake as a tool to bring historical figures to life would be a nice idea. using deepfake to spread wrong information about history should be punished,Ethical Realist,we can use deepfakes for training AI models through thousands of testcases,Educational/Societal
P1_127,YES,Strict Regulatory Advocate,"For educational purposes, like reading out articles, for listening tests of languages",Broadly Permissive,yes ,Innovation Optimist,"we can reimagine old images or scriptures for better clarity and studying of art
",Commercial/Entertainment
P1_128,yes as it breaches privacy,Strict Regulatory Advocate,i dont believe it should be used,Highly Restrictive,yes it cam be done but it will still offend some people,Ethical Realist,like using it in movies,Commercial/Entertainment
P1_129,"I think that the use of deepfake technology should be regulated by law as it can be used for illicit purposes, spreading misinformation in the form of personalities and many other risks.",Strict Regulatory Advocate,Deepfake technology can be used in the posthumous performance of a dead or ill performeer in the case that they have given their consent. It should also be used in multimedia wherever needed with consent to save collective effort.,Broadly Permissive,Yes. I have drawn the line between ethical and unethical uses in my above answers.,Ethical Realist,"The advantage of using deepfakes in the above context is to not stress any ill/dead performer and to save collective effort from the people who participate in creating videos, TV series and so on, wherever needed",Commercial/Entertainment
P1_130,"yes. it does not give credit to the original, consumers dont know whats the truth or lie",Strict Regulatory Advocate,"non creative field, in mundane tasks",Highly Restrictive,"no they shouldnt. art is human, nothing else",Ethical Realist,"faster mundane task completion in day to day life
",Educational/Societal
P1_131,"it should be, for the why part, idk man it just feels like it",Strict Regulatory Advocate,education,Broadly Permissive,i draw the line at exact 5 units away from ethical use and 8 units from unethical use,Invalid/Unclear,correcting old videos like 19th century type of ones ,Educational/Societal
P1_132,yes should be regulated by government for some serious exams or tests to maintain transperency ,Strict Regulatory Advocate,for entertainment ,Broadly Permissive,yes it helps me laugh seeing gandhi memes ,Innovation Optimist,no idea ,Invalid/Unclear
P1_133,Yes it should be regulated by law as the misuse probability of AI at this level is very high,Strict Regulatory Advocate,"it can be ethically used for education purposes as academically interested individuals can get a huge benefit in exploring , identifying and learning",Broadly Permissive,"it can be used for innovation , as long as AI is useful for the collective society as whole , it will be considered under ethical use of AI",Ethical Realist,"it can be used in music industry , entertainment and educational purposes as tutoring platform , ott platforms etc",Commercial/Entertainment
P1_134,yes,Strict Regulatory Advocate,none,Highly Restrictive,yes,Innovation Optimist,the mentioned above one,Invalid/Unclear
P1_135,"yes it should be regulated as it can be used to misguide, and portray something that's not actual and legitimate.",Strict Regulatory Advocate,"it can be used ethically in cases of education, entertainment industry(anime) to create something that is an imagination and bring it to reality.",Broadly Permissive,"yes it can be used to teach about history, it can be used to create better stories",Innovation Optimist,we can achieve what the human mind cannot imagine. we can use it to impart knowledge. we can use it against criminals to get out information.,Educational/Societal
P1_136,"Yeah, it can be used to produce fake evidence",Strict Regulatory Advocate,"Yeah, maybe I'm not sure",Invalid/Unclear,yes,Innovation Optimist,you have mentioned the use in the above question,Invalid/Unclear
P1_137,Yes cause it can cause many security issues on personal level to Nation level.,Strict Regulatory Advocate,"It can be used to shoot stunts, dangerous acts, which can be harmful for actors to perform.",Broadly Permissive,"Yes, it is very interesting way for everyone to learn about historical figures.",Innovation Optimist,"It is cost effective, safety for human life.",Commercial/Entertainment
P1_138,"Yes, deepfake technology should be legally regulated to prevent misuse, protect privacy, and stop misinformation.",Strict Regulatory Advocate,"Deepfake technology can be ethically used in entertainment, education, and accessibility—like movies, historical recreations, or teaching—if users are clearly informed and it serves a positive societal purpose.",Broadly Permissive,"Yes, deepfake technology can be a powerful tool for creativity and innovation—like bringing historical figures to life in classrooms, enhancing storytelling in films, or creating realistic simulations for training.

The line between ethical and unethical use is drawn based on consent, transparency, and intent:

Ethical: Clearly informing viewers, using it for education, art, or accessibility, and not harming anyone’s reputation.

Unethical: Deceiving people, spreading false information, or creating content without someone’s consent that could harm them.

In short, if it respects people and serves a positive purpose, it’s ethical; if it deceives or harms, it’s not.",Ethical Realist,"Deepfakes can enhance education, entertainment, and accessibility, like showing historical figures teaching or bringing actors to life in films. They also allow realistic simulations for training and personalized content ethically.",Educational/Societal
P1_139,yes it should be regulated as it maybe misuse many times,Strict Regulatory Advocate,in education i think deepfake can be ethically else it should not as in politics someone can portrait prime minister can say false message to the world.,Highly Restrictive,"Yes, deepfake technology can be used creatively and innovatively in films and education, bringing historical figures to life or enhancing storytelling, but ethical boundaries are crucial. The line between ethical and unethical use is drawn based on consent, intent, and impact: ethical use involves clear consent and a positive intent, such as educational or artistic expression. Unethical use occurs when deepfakes are created without consent, are used for malicious purposes like misinformation or fraud, or cause harm to individuals' reputations or relationships",Ethical Realist,"Deepfakes offer advantages in fields like media production, where they can create complex scenes with digital actors and bring historical figures back to life for artistic or educational purposes. In education, they can develop engaging historical re-enactments or language tools. For cybersecurity, deepfakes can generate synthetic data to protect original information or mislead attackers. ",Commercial/Entertainment
P1_140,It should not be regulated as it is bound to spread misinformation and cause widespread confusion about credibility of information,Strict Regulatory Advocate,Using deepfake for audio in animations can be a useful usage if known in advance,Highly Restrictive,"Enhancing storytelling can be interesting way to use deepfake, but bringing back historical figures might not be very ethical",Ethical Realist,Cutting costs is creating creative content,Commercial/Entertainment
P1_141,Yes I think it should be regulated,Strict Regulatory Advocate,It can be used for entertainment for eg there is a movie shoot and you dont have that much budget you can use a model's deepfake after his/her permission ,Highly Restrictive,Yes... using it for obscene stuff is intolerable,Ethical Realist,It can be used for entertainment for eg there is a movie shoot and you dont have that much budget you can use a model's deepfake after his/her permission. It can be used for students to teach history in a animated way,Commercial/Entertainment
P1_142,"Yes, It could be used for illegal activities if left unregulated.",Strict Regulatory Advocate,"Content creation, enternainment",Broadly Permissive,"Yes, The line is drawn when it is used for slander or misuse of these educational purposes.",Ethical Realist,In content creation and educational purposes. As mentioned above it can be used to bring historic figures to life and simulate their behavior.,Educational/Societal
P1_143,yes it should be regulated as it is very powerfull,Strict Regulatory Advocate,deepfakes can be used to promote social harmony or we can use it to create personalized messages by celebrities ,Broadly Permissive,yeah it can be used to bring back for eg Einstein so as to generate curiosity in school children,Innovation Optimist,can be used on historical figures like Einstein to teach school children ,Educational/Societal
P1_144,"Yes, otherwise anyone can use fake videos and defame anyone.",Strict Regulatory Advocate,"for entertainment purposes such as videos, movies, etc",Broadly Permissive,yes. unethical use is the defamation of anyone using this technology. otherwise it is ethical.,Ethical Realist,in movies.,Commercial/Entertainment
P1_145,"eYes.Even by the genral ouiblic, there is no utility because of the ill and misleading side effects to the society.",Strict Regulatory Advocate,no situation. not even education,Highly Restrictive,"no, better way is to enhance the teaching skills in school",Ethical Realist,i can't think,Invalid/Unclear
P1_146,"yes, unparallelled amount of propaganda and false news will be spread through this mean and as ai gets better and better it makes it insanely difficult for the consumer to identify whats real and whats fake",Strict Regulatory Advocate,deepfakes can be used in activities which require fictional creation. This will benefit both the consumer and producer.,Broadly Permissive,yes. it's ethical unless the deepfake is used to spread ideas and thoughts not created by the historical figures.,Ethical Realist,no,Invalid/Unclear
P1_147,yes its risky,Strict Regulatory Advocate,it cant be used ethically,Highly Restrictive,no it infringes copyrights,Ethical Realist,none,Invalid/Unclear
P1_148,"Yes, because it is fake.",Strict Regulatory Advocate,"Politics, education and privacy.",Broadly Permissive,"Yes. Unless related to private matters and breaches privacy, it should be ok.",Ethical Realist,Bettter use of creativity.,Commercial/Entertainment
P1_149,"Yes , deepfake technology must be regulated. Reasons are ethics , misuse , impersonation and so on.",Strict Regulatory Advocate,It can be ethically used  in cases like a voice actor who is dead/unavailable etc. ,Broadly Permissive,"Yes, the line between ethical and unethical is blurred",Ethical Realist,"educational purposes, voice acting , image editing etc ",Educational/Societal
P1_150,yes bcz we should know what is real and what is fake,Strict Regulatory Advocate,all,Broadly Permissive,i don't know,Invalid/Unclear,enntertainment,Commercial/Entertainment
P1_151,Yes because there can be illegal use of deepfake technology,Strict Regulatory Advocate,"education for blinds, entertainment with lower budget",Broadly Permissive,Yes it can be a really helpful tool within limits. It should be restricted within the societal limits and should not involve censored content,Ethical Realist,Advantages can be easier reach and production at lower costs,Commercial/Entertainment
P1_152,yes it should be regulated by the govt because it is clearly a breach of privacy and can cause serious privacy issues,Strict Regulatory Advocate,deepfake technology can be used in entertainment and education,Broadly Permissive,yes this can be very useful,Innovation Optimist,it could be used for educational purposes.,Educational/Societal
P1_153,it should not be targeted to personal uses and should have the consent of any content before using anyone.,Conditional/Skeptic,education can adopt such technologies so as to make students understand concepts in a better way.,Broadly Permissive,yes definitely it can use this technology. ,Innovation Optimist,educational purposes,Educational/Societal
P1_154,Yes because it disturbs the privacy of an individual,Strict Regulatory Advocate,For entertainment by the real man's permission and for education,Highly Restrictive,"Yes,till the individual person is not concerned",Ethical Realist,Education for students by AI ,Educational/Societal
P1_155,"yes, it may be misused",Strict Regulatory Advocate,in entertainment education it is useful,Broadly Permissive,yes,Innovation Optimist,it can be used to know a historical,Educational/Societal
P1_156,yes,Strict Regulatory Advocate,education,Broadly Permissive,yes,Innovation Optimist,Bringing historical figures to life for educational purposes and enhancing storytelling in films,Educational/Societal
P1_157,Yes,Strict Regulatory Advocate,education,Broadly Permissive,yes until its too graphic,Ethical Realist,educational videos,Educational/Societal
P1_158,"Yes, People may misuse to generate indecent pictures of others or may try to impersonate some other person",Strict Regulatory Advocate,To make movies when actor is injured,Broadly Permissive,"yes it can, we can make historic personalities come to real life",Innovation Optimist,"we can make historic personalities come to real life, dead people can talk again",Educational/Societal
P1_159,no because future entertainment will be handled by ai,Conditional/Skeptic,no,Highly Restrictive,no,Ethical Realist,yes,Invalid/Unclear
P1_160,"Yes it should be, it is very powerful and can be used for unethical reasons. It should be highly regulated and put for good use.",Strict Regulatory Advocate,Cant see many good use cases other than entertainment and education. It can be used for making better videos for education.,Highly Restrictive,"Yes absolutely, that would be an amazing use case. It is ethical as long as the viewpoints being taught from the videos are truthful, non violent, ethical and moral themselves",Ethical Realist,the previous use case of using them for bringing historical figures back to life is very interesting.,Educational/Societal
P1_161,"Yes, as it is very easy to do identity theft.",Strict Regulatory Advocate,recreating famous dead people's personas,Broadly Permissive,Use without the knowledge of the person or their family,Ethical Realist,recreating famous dead people's personas,Educational/Societal
P1_162,"yes, it can lead to misconceptions",Strict Regulatory Advocate,to detect if the websites/social media people are to are really true or just fake,Broadly Permissive,yes,Innovation Optimist,for entertainment,Commercial/Entertainment
P1_163,Yes surely,Strict Regulatory Advocate,"When there is an emergency to deliver a speech by prime minister, they can use deepfake to announce the speech,but it should be done by official people",Highly Restrictive,"Yes, it can be used for ethical ways like bringing back your loved ones back to life. Only those deepfakes which are publicly spread should be concerning and must be regulated",Ethical Realist,Bringing back our loved ones back and chatting with them in real time,Educational/Societal
P1_164,no,Conditional/Skeptic,yes,Broadly Permissive,ethical,Invalid/Unclear,yes,Invalid/Unclear
P1_165,"Yes, it should be regulated as people might misuse it for phishing or such illegal activities by impersonating someone.",Strict Regulatory Advocate,"It can be used for educational content creation, to improve accessibility via personalized translations and enhance visual effects in movies",Broadly Permissive,"Yes, it can be used. Tt is ethical if it is used to help someone, otherwise it is unethical.",Ethical Realist,For people who miss their family members can hear their voices again using deepfakes.,Educational/Societal
P1_166,Yes as it can easily be misused causing harm to a person's image and social standing also might cause violence and other problems in extreme cases,Strict Regulatory Advocate,entertainment and education to promote learning and entertainment,Broadly Permissive,"yes ,as long as it is not misused to do miscreant work",Ethical Realist,education to help students to visualize certain things without having to put manhours behind it,Educational/Societal
P1_167,"Yes, to prevent harmful use by apps that target people, especially women to extort or humiliate them",Strict Regulatory Advocate,Remaking classic movies with new-age actors,Broadly Permissive,Yes. It depends on whether the person in the deepfake consents/would have consented (in the case of dead figures) to the use of their likeness.,Ethical Realist,"Saves production time in movie production, can be used to recreate historical moments for educational purposes. ",Commercial/Entertainment
P1_168,my opinion doesn't matter,Invalid/Unclear,in entertainment purpose only,Broadly Permissive,yes,Innovation Optimist,it can be used for entertainment,Commercial/Entertainment
P1_169,"Yes, I do believe that deepfake technology should be regulate day the law. This is because of the fact that people could misuse the technology, like the recent incident with Taylor swift, and thus it should be regulated.",Strict Regulatory Advocate,"It can be used as a creative tool, like bringing back historical figures and among other things. However there arises a question, is it valid to do such a thing given the fact that we do not have their consent. The only thing I would agree with, is using deepfakes only when there is consent.",Highly Restrictive,"Yes, it can be. The line is drawn when it's misused. Like making an ad using those figures might not necessarily be right, because we are using them. for our profit,\.",Ethical Realist,advantages could be creative control.,Invalid/Unclear
P1_170,yes.its not a good thing,Strict Regulatory Advocate,i dont think it should be used ethically also,Highly Restrictive,everything is unethical,Ethical Realist,no advantages,Invalid/Unclear
P1_171,YES. Because it leads to fraudulent practices.,Strict Regulatory Advocate,In education.,Broadly Permissive,Ethical usage is for educational purposes as mentioned in the question but unethical usage is when deepfake is used to mimic people and use their faces for committing a crime.,Ethical Realist,EXAMPLE: IN EDUCATIONAL PURPOSES BY BRINGING HISTORICAL FIGURES TO LIFE.,Educational/Societal
P1_172,No. It breaches others' privacy. ,Conditional/Skeptic,For movies to portray a fictional character.,Broadly Permissive,Yes. If the consent of the person is considered.,Ethical Realist,For creative or innovative uses.,Commercial/Entertainment
P1_173,yes,Strict Regulatory Advocate,no,Highly Restrictive,yes,Innovation Optimist,no ,Invalid/Unclear
P1_174,"Yes, many celebreties might face problem",Strict Regulatory Advocate,"By movie productions for entertainment,actor's workload will be reduced",Broadly Permissive,Yes.Celebreties pics should not be misused.,Ethical Realist,"In education,entertainment. ",Educational/Societal
P1_175,"Yes, it would reduce spreading of fake information",Strict Regulatory Advocate,entertainment,Broadly Permissive,Yes.,Innovation Optimist,fake photos of celebrites,Commercial/Entertainment
P1_176,"Yes . It can be misused in many ways , like making political statements ",Strict Regulatory Advocate,can be used in education,Broadly Permissive,yes . Line should be drawn to promoting fake agendas by portraying those figures,Ethical Realist,In education . Like making the person who discovered the stuff explaining the thing he discovered,Educational/Societal
P1_177,yes. deepfake can be manipulated to dpread misinformation or defame people.,Strict Regulatory Advocate,It can be used in entertainment if the person has given his consent and is aware of the video will portray him.,Highly Restrictive,yes it can be used in such a way but it should be regulated to not spread misinformation.,Ethical Realist,Some advantages can be in entertainment industry such as de aging and it can be used to enact histrorically significant events.,Commercial/Entertainment
P1_178,Yes it should be. It can be used for many illegal purposes such as faking someone.,Strict Regulatory Advocate,for education purposes some famous personality can be shown teaching kids which helps them remember things easily,Broadly Permissive,"this is possible, infact it is a good idea to use deepfake technology this way",Innovation Optimist,i cant think of any right now,Invalid/Unclear
P1_179,"It should definitely be regulated by law because as this technology improves it gets harder and harder to differentiate the fake from real. This might result in massive issues like CCTV, video, audio evidence etc might be tampered with using this and it can also be used to spread tons of misinformation on online platforms.",Strict Regulatory Advocate,"Sure, in such cases deepfakes work when everyone knows that its not real, for example in the entertainment sector there can be a gameshow which is based off of this ""AI or not AI"". Politics and education is a dicey topic because misinformation will be extremely easy to spread using deepfakes there, so I would think that its better to avoid deepfake technology in those cases.",Highly Restrictive,"Yeah this does seem like a good application of deepfake technology and it could help in capturing the attention of the students, but I still feel this should be regulated because if the teacher is biased then they can add subtle differences to propagate their opinion. ",Ethical Realist,"Entertainment, education(regulated) ",Commercial/Entertainment
P1_180,"yes, it can lead to wrong accusations for a good person",Strict Regulatory Advocate,"it can be used for educational and recreational purposes. for teaching, showing beautiful scenery , funny scenes etc.",Broadly Permissive,"yes , it can. it is ethical upto the point where it doesnt hurt any body,or the historical figure is insulted in any way",Ethical Realist,"it can be used to show some events which happened it the past , and is difficult to express/describe",Educational/Societal
P1_181,"yes , many career options will get eradicated like singing , modeling etc.",Strict Regulatory Advocate,for content creation,Broadly Permissive,yes,Innovation Optimist,visualisation,Educational/Societal
P1_182,"Yes, certainly it needs to be regulated. It could lead to misinformation, misconceptions and even defamation of individuals",Strict Regulatory Advocate,"Yes, informing users beforehand is the best option.",Highly Restrictive,"Yes, but by respecting the boundaries of the individuals. Only using it for associating it with their own image. It should not be something that the person would not want to project to the society",Ethical Realist,"As suggested by the form before, it could help bring historical figures to life and enhance storytelling and all.",Educational/Societal
P1_183,yes it should be regulated because people can misuse deepfake technology and blackmail other,Strict Regulatory Advocate,used in promoting equality and unity,Broadly Permissive,yes it can be used in research,Innovation Optimist,promoting equality and research perspective,Educational/Societal
P1_184,Yes as it has very dire consequences,Strict Regulatory Advocate,It can be used to cast dead actors in movies who fans love,Broadly Permissive,yes,Innovation Optimist,Deepfakes can be used in entertainment,Commercial/Entertainment
